race_date,race_city,race_no,result,horse_name,horse_accessories,horse_age,horse_sex,horse_origin,horse_sire,horse_dam,hors_broodmare_sire,jockey_weight,jockey_name,horse_owner,horse_trainer,horse_win_value,Horse_starting_box_no,horse_rate,horse_race_degree_seconds
2024-01-25,İzmir,2,4,VIVERNUS PRIDE,KG K,3,f,AUTHORIZED (IRE)- FAROE ISLANDS (GB) / HALLING (USA),authorized (ire),faroe islands (gb),HALLING (USA),57,beki̇r mert mirik,RİTA KUYUMCİYAN,şaki̇r çeli̇k,10.05,3,39,106.43
2024-01-25,İzmir,2,5,FERİŞTAH KIZI,KG SK,3,f,BARUDİ- MY FUNNYLOVE / VICTORY GALLOP (CAN),barudi̇,my funnylove,VICTORY GALLOP (CAN),56,hüseyi̇n şi̇mşek,ALİ ÖREN,mehmet karaca,40.6,2,37,106.54
2024-01-25,İzmir,2,6,CHEEKY GIRL,DB SK,3,f,CROSS FIRE- INSOLENCE (USA) / MR.GREELEY (USA),cross fire,insolence (usa),MR.GREELEY (USA),58,mehmet kaya,VOLKAN ŞAHİNGÖZ,ali̇ aras zümbüller,7.65,4,42,106.84
2024-01-25,İzmir,2,7,LOVELY LISA,K DB,3,f,MAVİ GÖZLÜ DEV- TWIST LADY / WIN RIVER WIN (USA),mavi̇ gözlü dev,twist lady,WIN RIVER WIN (USA),58,kadi̇r tokaçoğlu,ONUR YETKİN,şefi̇k özdeni̇z,2.1,1,41,106.87
2024-01-25,İzmir,2,8,HIZLI EMOŞ,DB SKG SK,3,f,BARUDİ- ASİ RÜZGAR / EL SALVADOR,barudi̇,asi̇ rüzgar,EL SALVADOR,54,nevzat avci̇,HALİL FELHAN,ülkü ayboğa,17.4,7,34,128.11
2024-01-25,İzmir,3,1,ŞIKTURBO,KG DB,4,m,TURBO- ŞIPSEVDİ / HABERBATUR,turbo,şipsevdi̇,HABERBATUR,58,erhan aktuğ,MUZAFFER BUĞDAYCI,şefi̇k özdeni̇z,2.7,9,42,82.95
2024-01-25,İzmir,3,2,ÇAKOPİ,KG DB SK,4,f,SİLAH- KOPÇA / SABURAY,si̇lah,kopça,SABURAY,56,nevzat avci̇,MİKAİL ALTIN,mehmet yaparoğlu,5.05,5,34,86.25
2024-01-25,İzmir,3,3,KIZKARDEŞİM,KG SK,4,f,ALTAHA- MERETO GÜLÜ / EMAEL (PL),altaha,mereto gülü,EMAEL (PL),56,kadi̇r tokaçoğlu,GÜRHAN ŞEVKET ÖZBELGE,mehmet karaca,3.6,3,36,86.52
2024-01-25,İzmir,3,4,BAY TURBO,KG DB,4,m,TURBO- ALÇİÇEK / SÜLO,turbo,alçi̇çek,SÜLO,58,muhammed mi̇r bi̇lgi̇n,HASAN PEHLİVAN,nuretti̇n gönültaş,9.45,1,34,86.64
2024-01-25,İzmir,3,5,TOZKOPARAN,KG DB SK,4,m,ÖZHABER- AYBURAK SULTAN / ODİNHAN,özhaber,ayburak sultan,ODİNHAN,58,gökhan gökçe,FİKRET KANMAN,seyi̇t gökçe,3.55,4,0,86.72
2024-01-25,İzmir,3,6,KARACAYIM,KG SK,4,f,CİHANSER- ESENHANIM / ŞÖVALYE,ci̇hanser,esenhanim,ŞÖVALYE,56,beki̇r mert mirik,ŞAHNUR KARACA,ülkü ayboğa,60.65,7,14,87.18
2024-01-25,İzmir,3,7,GÖK SAVAŞÇISI,KG,4,m,SAKARBAŞI- KIZILMAVİ / EFEM,sakarbaşi,kizilmavi̇,EFEM,54,enes üstün,YUSUF SERFİCELİ,fi̇kret çelti̇k,99.75,2,0,88.18
2024-01-25,İzmir,3,8,OĞLUMHAN,KG K GKR,4,m,UÇANBEY- GÜLZEYCAN / TIKI TORK KU (US),uçanbey,gülzeycan,TIKI TORK KU (US),58,hüseyi̇n şi̇mşek,MEHMET BİRDEN,mehmet kaya,17.65,8,30,88.27
2024-01-25,İzmir,3,9,DALYA SULTAN,KG DB,4,f,OYMAKBEYİ- COMOGÖLÜ / NEVZATBEY,oymakbeyi̇,comogölü,NEVZATBEY,52,mert uyar,YUNUS KÜLAHCIOĞLU,celhan batur,41.15,6,26,90.55
2024-01-25,İzmir,4,1,SMYRNA ROMANCE,DB SKG SK,5,f,SMART ROBIN (JPN)- GÜZEL GELİN / EAGLE EYED (USA),smart robin (jpn),güzel geli̇n,EAGLE EYED (USA),57,beki̇r mert mirik,HÜSEYİN YILDIZ,si̇nan şahyazici,15.95,5,48,103.5
2024-01-25,İzmir,4,2,MY GİRL LİSA,KG SK,4,f,CRIMEAN TATAR- CARNA / DIVINE LIGHT* (JPN),crimean tatar,carna,DIVINE LIGHT* (JPN),54,i̇brahi̇m sefa söğüt,ERSİN BİLİCİ,cengi̇z teki̇n köse,14.95,3,46,104.06
2024-01-25,İzmir,4,3,CRAZY HORSE,KG DB SK,4,f,MENDIP (USA)- MAMMA MIA / ROYAL ABJAR (USA),mendip (usa),mamma mia,ROYAL ABJAR (USA),53,mert uyar,NANCY KİBAR,şaki̇r çeli̇k,2.55,2,44,104.38
2024-01-25,İzmir,4,4,PAVLİÇENKO,KG SK SGKR,4,f,CROSS FIRE- ASETON / SHINING STEEL (GB),cross fire,aseton,SHINING STEEL (GB),52,ali̇can i̇nci̇,YUSUF KÜREM,mehmet kaya,4.85,7,43,105.09
2024-01-25,İzmir,4,5,BEYOND THE SEA,DB SKG SK,4,f,VICTORY GALLOP (CAN)- DERYA SULTAN / LION HEART (USA),victory gallop (can),derya sultan,LION HEART (USA),61,muhammed mi̇r bi̇lgi̇n,ERKAN OKAN,mehmet kaya,17.75,6,60,105.17
2024-01-25,İzmir,4,6,MENAS,K DB,5,f,MENDIP (USA)- JIGGLYPUFF / PERFECT STORM,mendip (usa),jigglypuff,PERFECT STORM,58,nevzat avci̇,K.CEVAT DAYSAL,şefi̇k özdeni̇z,4.0,1,51,108.02
2024-01-25,İzmir,4,7,DEEP DELIGHT,DB,5,f,TOROK (IRE)- GALVANLI / ALWAYS A CLASSIC (CAN),torok (ire),galvanli,ALWAYS A CLASSIC (CAN),61,kaancan gökçe,FAHRİ İŞİNİBİLİR,ci̇han arpek,12.6,8,60,110.55
2024-01-25,İzmir,4,8,DUBAI EXPRESS,KG K DB,4,f,MORE THAN A GAME (USA)- SALLY OBELISK / OKAWANGO (USA),more than a game (usa),sally obelisk,OKAWANGO (USA),62,erhan aktuğ,VEHPİ GÜZELOCAK,batuhan turgul,4.35,4,62,111.03
2024-01-25,İzmir,5,1,GÜNDÜZDÜŞÜ,KG K,6,f,KAIZBERT (RU)- SERAY KIZI / YALAZ,kaizbert (ru),seray kizi,YALAZ,55,tolga yildiz,MEHMET ÇELİK,serhat önder,1.9,2,95,82.18
2024-01-25,İzmir,5,2,SİNOPLU MERVE,KG,8,f,BİLGİN- SÜBEYHİKIZI / ÖZGÜNHAN,bi̇lgi̇n,sübeyhi̇kizi,ÖZGÜNHAN,55,nevzat avci̇,HAKKI TARIK DİKENCİK,melek özgül,2.05,4,95,82.63
2024-01-25,İzmir,5,3,AFERDİTA,KG DB SK,6,f,KAIZBERT (RU)- TURBOTAY / TURBO,kaizbert (ru),turbotay,TURBO,55,mehmet kaya,SEVİNÇ ÖZMEN,şevval şi̇mal demi̇r,3.8,1,93,84.08
2024-01-25,İzmir,5,4,AHİRDAĞ,KG K,5,f,GELİBOLU- BERİKAKIZ / KARA YAĞIZ,geli̇bolu,beri̇kakiz,KARA YAĞIZ,55,i̇brahi̇m sefa söğüt,LÜTFİ SABANCI,mehmet tamer,32.95,5,60,85.44
2024-01-25,İzmir,5,5,HADİGEL,KG K DB,6,f,JOKER- AJLAN / DAYIBEY,joker,ajlan,DAYIBEY,55,ali̇can i̇nci̇,MEHMET BAYDAN,i̇brahi̇m hali̇l baydan,27.55,3,64,86.0
2024-01-25,İzmir,6,1,KIVIRCIK MEMET,KG,4,m,TAMERİNOĞLU- KALPKIRAN / UÇANBEY,tameri̇noğlu,kalpkiran,UÇANBEY,51,erhan aktuğ,ERKAN BAL,ercan ateş,9.9,1,39,99.81
2024-01-25,İzmir,6,2,OĞLUM YUNUS,KG DB SK,4,m,SAADIN GÜCÜ- CAN ZEHRA / ÇORUH,saadin gücü,can zehra,ÇORUH,57,ali̇can i̇nci̇,CEZMİ ATİK,mehmet kaya,3.5,7,51,99.88
2024-01-25,İzmir,6,3,GÜRKAN BEY,DB SK,4,m,OVA- BERGÜZAR / ALAZ,ova,bergüzar,ALAZ,56,nevzat avci̇,MEHMET ALTIN,i̇brahi̇m hali̇l baydan,6.5,6,48,100.24
2024-01-25,İzmir,6,4,CANDARLI,KG K,4,m,KAIZBERT (RU)- FİDANIM / TOŞUR,kaizbert (ru),fi̇danim,TOŞUR,60,mehmet kaya,FERİDE TOYDEMİR YILDIZ,ülkü ayboğa,2.75,2,56,100.27
2024-01-25,İzmir,6,5,GARİPLERBEYİ,KG DB,4,m,KAIZBERT (RU)- MOSTAR / PİR KARACA,kaizbert (ru),mostar,PİR KARACA,54,tolga yildiz,MEHMET ÇELİK,serhat önder,6.9,3,44,100.98
2024-01-25,İzmir,6,6,UZUN TAY,DB SKG SK,4,m,İSFENDİYAR- ANOŞ / HABERBATUR,i̇sfendi̇yar,anoş,HABERBATUR,57,mert uyar,SADIK ÇETİN,hakan aslan,3.9,5,56,102.33
2024-01-25,İzmir,6,7,KIRŞAHİN,K DB,4,m,DERHADIR- BERİKAKIZ / KARA YAĞIZ,derhadir,beri̇kakiz,KARA YAĞIZ,51,i̇brahi̇m sefa söğüt,ALİ SABANCI,mehmet tamer,27.65,4,38,102.39
2024-01-25,İzmir,7,1,NAZLI HİLAL,KG K,4,f,YAVUZBEY- NAZLI DELAL / BİLGİN,yavuzbey,nazli delal,BİLGİN,56,nevzat avci̇,YUSUF KEMAL KOCA,fi̇kret çelti̇k,2.65,10,35,85.26
2024-01-25,İzmir,7,2,BİLALCAN,KG DB,4,m,CANKARDEŞLER- BERRACAN / KIVANÇ CAN,cankardeşler,berracan,KIVANÇ CAN,58,muhammed mi̇r bi̇lgi̇n,MEHMET EMRE ACARLAR,ali̇can öksüzler,4.05,5,28,87.33
2024-01-25,İzmir,7,3,TORUNUM MİRAN,DB SK,4,m,CANKARDEŞLER- DİZEL KIZI / TURBO,cankardeşler,di̇zel kizi,TURBO,54,mert uyar,HASAN MERTKAN ATİK,mehmet kaya,2.9,2,33,87.35
2024-01-25,İzmir,7,4,PRENSES SULTAN,KG SK,4,f,TAMERİNOĞLU- UÇANYÜZ / NEVZATBEY,tameri̇noğlu,uçanyüz,NEVZATBEY,56,erhan aktuğ,HACI DURAN KOCA,fi̇kret çelti̇k,8.7,1,21,88.37
2024-01-25,İzmir,7,5,KIZIL ÖZGÜN,KG K DB,4,m,KIZILHİSAR- GÜNALIM / NEVZATBEY,kizilhi̇sar,günalim,NEVZATBEY,54,i̇brahi̇m sefa söğüt,İSA ÖZSAKALLI,mehmet akkuş,9.9,9,28,88.99
2024-01-25,İzmir,7,6,ZULLUTHAT,KG K,4,m,DERHADIR- AZİMLİ ZULUT / BOZDAĞ,derhadir,azi̇mli̇ zulut,BOZDAĞ,58,beki̇r mert mirik,CUMA TUMBUL,meli̇h tezel,27.2,6,12,89.79
2024-01-25,İzmir,7,7,AYGÜR,K DB,4,m,GÜRSU- NAZLIAY / DRUID (PL),gürsu,nazliay,DRUID (PL),58,ali̇can i̇nci̇,MUZAFFER ÇEVİRİCİ,mahmut zelyurt,15.1,7,0,90.92
2024-01-25,İzmir,7,8,HUYSUZ KIZ,KG DB SK,4,f,BİLGEKURT- BESTEHAN / SÜLO,bi̇lgekurt,bestehan,SÜLO,56,hüseyi̇n şi̇mşek,MERT ÖNGELEN,ülkü ayboğa,62.0,3,13,91.26
